id,domain,prompt
4396,Robotics / Motion / Actuators,"Drive a pan/tilt pair to target angles [rad] received from a message, with per-axis rate limits and motion inhibited when supply voltage is low. Indicate stale targets (>200 ms) via status outputs."
4397,Robotics / Motion / Actuators,Generate a trapezoidal profile to move from the current angle to a target [rad] with v_max 1.5 [rad/s] and a_max 3.0 [rad/s^2]. Output a position setpoint at 1 kHz.
4398,Robotics / Motion / Actuators,"Synchronize two wheel motors so their linear speeds [mps] remain matched within 0.02 [mps]. If the difference exceeds 0.05 [mps], reduce both commands to protect mechanics. Update at 200 Hz."
4399,Robotics / Motion / Actuators,"Map a joystick and deadman switch to differential drive: forward input maps to linear speed [mps], turn input to yaw rate [rad/s]. Limit linear speed to 0.7 [mps] when yaw rate exceeds 0.8 [rad/s]. Stop if the deadman is released."
4400,Robotics / Motion / Actuators,Implement a position hold using PID on encoder angle [rad] with a gravity compensation feedforward term. Saturate output safely and freeze the integrator when beyond ±0.9 [rad] soft limits.
4401,Robotics / Motion / Actuators,"Create a gripper state machine: OPEN, CLOSE, HOLD, and EMERGENCY. CLOSE drives a servo until load threshold or 0.8 [rad] reached, then HOLD maintains. OPEN moves to 0.1 [rad]. EMERGENCY releases to 0 [rad]. Run at 250 Hz, WCET <= 0.2 ms."
4402,Robotics / Motion / Actuators,"Implement a timed move: upon a command with target [rad] and duration [s], generate a smooth velocity profile to reach the target exactly in the specified time with v <= 2.0 [rad/s]. Reject durations < 0.1 s as unsafe."
4403,Robotics / Motion / Actuators,"Add safety limits to a stepper: reject any command exceeding 3.0 [rad/s] or beyond [-2.0, +2.0] [rad], set a latched fault, and require a reset before accepting new moves."
4404,Robotics / Motion / Actuators,Use two limit switches to enforce travel ends on a linear actuator. Hitting the positive limit blocks further positive motion but allows reverse up to 0.05 [mps]. Debounce switches by 50 ms.
4405,Robotics / Motion / Actuators,"Implement a command watchdog: if no velocity command is received for 500 ms, ramp down to 0 [mps] over 1 s and enter IDLE. Resume only on a new valid command."
4406,Robotics / Motion / Actuators,"Drive a motor with a velocity PID loop tracking a target [mps]. Provide configurable gains, saturations, and a slew limit of 0.3 [mps/s]. Run at 1 kHz with WCET <= 0.25 ms."
4407,Robotics / Motion / Actuators,"Reduce hold torque: when within ±0.01 [rad] of target and speed < 0.02 [rad/s], scale controller output down by 40% to save power; restore full output if error grows."
4408,Robotics / Motion / Actuators,"Implement a soft stop based on an obstacle sensor: if distance < 0.3 m, limit linear speed to 0.1 [mps]; if < 0.2 m, stop. Update at 100 Hz and avoid overshooting the limit."
4409,Robotics / Motion / Actuators,"Track a sine wave position: amplitude 0.2 [rad], frequency 0.5 Hz, with velocity capped at 1.0 [rad/s]. Provide start/stop control and report the current phase."
4410,Robotics / Motion / Actuators,"Add a manual trim to commanded angle: apply a bias up to ±0.1 [rad] with a slew limit of 0.05 [rad/s], and clamp total command within [-1.0, +1.0] [rad]."
4411,Robotics / Motion / Actuators,"Compensate servo dead zone: if errors persist within ±0.02 [rad], apply a static offset up to 0.03 [rad] to overcome stiction; remove it once velocity exceeds 0.1 [rad/s]."
4412,Robotics / Motion / Actuators,"Create a two-button jog with acceleration: while held, increase speed linearly up to 1.2 [rad/s]; on release, decelerate to zero smoothly. Respect software stops at ±1.8 [rad]."
4413,Robotics / Motion / Actuators,"Follow an external line speed estimate [mps] for a conveyor while limiting acceleration to 0.5 [mps^2] and deceleration to 0.8 [mps^2]. If the estimate is stale (>100 ms), hold current speed."
4414,Robotics / Motion / Actuators,"Design a cascaded position-velocity PID for a rotary joint: the outer loop tracks target angle [rad], the inner loop tracks target velocity [rad/s]. Include integrator anti-windup, output saturation, and run at 1 kHz with WCET <= 0.35 ms."
4415,Robotics / Motion / Actuators,"Fuse encoder angle [rad] and gyro rate [rad/s] using a complementary filter to estimate joint velocity, then use that in a velocity PID to track a target [rad/s]. Provide a tunable fusion coefficient and handle gyro bias."
4416,Robotics / Motion / Actuators,"Implement a jerk-limited S-curve trajectory for a rotary axis to move to a target [rad] with limits v_max 2.5 [rad/s], a_max 6.0 [rad/s^2], and j_max 50.0 [rad/s^3]. Ensure continuity and safe saturation."
4417,Robotics / Motion / Actuators,"Build a fault-tolerant velocity controller that detects sensor disagreement: compare encoder-derived speed [rad/s] with an observer estimate; if discrepancy > 0.3 [rad/s] for >100 ms, enter DEGRADED mode and cap linear speed to 0.4 [mps] until reset."
4418,Robotics / Motion / Actuators,"Control two opposing belt drives to maintain a target linear speed [mps] while keeping their speed difference under 0.02 [mps] using cross-coupled PI. Include an emergency stop path, 500 Hz update, WCET <= 0.4 ms."
4419,Robotics / Motion / Actuators,Create a gain-scheduled position PID: reduce proportional gain as velocity [rad/s] rises to avoid excitation. Ensure actuator command saturates within safe bounds and implement integrator back-calculation.
4420,Robotics / Motion / Actuators,"Implement online PID gain updates via parameter inputs while maintaining stability: reject invalid updates (e.g., negative gains) or those implying loop bandwidth > 20 Hz. Run at 1 kHz with WCET <= 0.3 ms."
4421,Robotics / Motion / Actuators,Add model-based feedforward for velocity: compute a feedforward command for desired acceleration [mps^2] and sum with PID feedback to follow a trajectory in [mps]. Enforce bounds on acceleration and overall output.
4422,Robotics / Motion / Actuators,Implement a disturbance observer for a joint: estimate load effects from deviations between commanded and measured velocity [rad/s] and compensate within safety limits. Disable compensation within 0.05 [rad] of end stops.
4423,Robotics / Motion / Actuators,"Create an auto-homing sequence with overspeed protection: during SEEK, if speed exceeds 1.0 [rad/s], cut power, back off 0.1 [rad], wait 1 s, and retry up to 3 times before faulting. Log retries and final status."
4424,Robotics / Motion / Actuators,"Design a multi-mode motion controller with modes DISABLED, MANUAL, AUTO_TRAJECTORY, and EMERGENCY_STOP. Each mode has its own limits for linear speed [mps] and yaw rate [rad/s]. Schedule sensor fusion at 500 Hz, trajectory generation at 200 Hz, and velocity PID at 1 kHz with WCET budgets 0.2 ms, 0.3 ms, and 0.35 ms respectively; drop to DISABLED on any overrun."
4425,Robotics / Motion / Actuators,"Create a dual-redundant encoder fusion for a joint: two encoders provide angle [rad]. Perform consistency checks, select the best source, fail over seamlessly, and drive a position PID with the fused angle. Add a SAFE_HOLD that maintains within ±0.02 [rad] if both sensors disagree beyond 0.05 [rad]. Include fault injection test hooks."
4426,Robotics / Motion / Actuators,"Implement a coordinated 4-wheel velocity allocator that maps desired body linear speed [mps] and yaw rate [rad/s] to individual wheel speed commands. Handle saturation with priority to yaw stability. Provide a self-test covering step responses, limit handling, and watchdog behavior at 1 kHz with WCET <= 0.8 ms."
4427,Robotics / Motion / Actuators,"Specify and implement a comprehensive homing and calibration procedure: switch debounce, approach speed 0.4 [rad/s], backoff 0.03 [rad], max attempts 5, timeout 10 s, and a guaranteed safe halt if exceeded. Include unit-tested state transitions and timing assertions."
4428,Robotics / Motion / Actuators,"Develop a multi-axis gantry controller to maintain squareness: the primary axis follows a position trajectory [rad], the secondary axis uses cross-coupled control to keep differential angle at 0 [rad]. Modes: IDLE, SYNC, RUN, FAULT. Include end-stop handling, a 1 kHz control loop, WCET budget 0.6 ms, and verification steps for mode coverage."
4429,Robotics / Motion / Actuators,"When a boolean go signal is true, drive a wheel motor at 0.5 [mps]; otherwise command 0 [mps]. Enforce a hard max speed of 0.6 [mps]."
4430,Robotics / Motion / Actuators,"On a rising edge of an open command, move a servo to 1.20 [rad]; otherwise hold at 0.00 [rad]. Clamp all position commands to the safe range [0.00, 1.50] [rad]."
4431,Robotics / Motion / Actuators,"Map a single analog input in [0..1] to wheel velocity in [-0.8, 0.8] [mps] with a 0.05 deadband around zero. Output the resulting [mps] to one motor."
4432,Robotics / Motion / Actuators,Toggle a stepper target between 0.00 [rad] and 6.28 [rad] when a toggle input changes state. Never allow the commanded position to exceed 8.00 [rad].
4433,Robotics / Motion / Actuators,Drive a single motor toward a target speed in [mps] with a simple slew limit of 0.2 [mps/s]. Saturate the output to ±1.0 [mps].
4434,Robotics / Motion / Actuators,"Set a servo’s commanded angle directly from a target [rad], clipped to [0.0, 2.5] [rad], and ignore small changes below 0.01 [rad] to prevent chatter."
4435,Robotics / Motion / Actuators,"If enable is true, hold wheel speed at 0.3 [mps]; if false, command 0 [mps]. Do not allow reversal; negative commands are clamped to 0 [mps]."
4436,Robotics / Motion / Actuators,"Implement a simple safety: when emergency stop is active, immediately force motor velocity to 0 [mps]. Otherwise pass through the requested speed, bounded to ±0.4 [mps]."
4437,Robotics / Motion / Actuators,"When test mode is true, step a servo between 0.50 [rad] and 1.00 [rad] with a 2 s dwell at each end; otherwise hold last position."
4438,Robotics / Motion / Actuators,"Convert a joystick forward command in [-1, 1] to wheel velocity with scale 1.2 [mps], then limit the output to ±1.0 [mps]."
4439,Robotics / Motion / Actuators,"When a center signal is pressed, command a linear actuator servo to 0.50 [rad]; otherwise retain the previous command. Clip all angles to [0.20, 0.80] [rad]."
4440,Robotics / Motion / Actuators,"If motor temperature exceeds a threshold, linearly derate maximum allowable speed down to 0 [mps] at 90 C; otherwise allow up to 1.0 [mps]."
4441,Robotics / Motion / Actuators,"Implement jog controls for a stepper: each jog+ pulse adds +0.10 [rad], each jog- pulse subtracts 0.10 [rad]. Enforce hard stops at 0.00 [rad] and 3.14 [rad]."
4442,Robotics / Motion / Actuators,"When battery voltage is below 11.0 V, cap wheel velocity commands to 0.3 [mps]; otherwise permit up to 0.8 [mps]."
4443,Robotics / Motion / Actuators,Latch a fault if measured motor current exceeds a threshold for more than 100 ms and force speed to 0 [mps] until reset; otherwise pass through the requested [mps] within safe limits.
4444,Robotics / Motion / Actuators,"For a two-wheel drive, convert forward velocity [mps] and yaw rate [rad/s] into left/right wheel velocities [mps]. Apply saturation and a per-loop slew limit. Run at 100 Hz with WCET ≤ 1 ms."
4445,Robotics / Motion / Actuators,"Create a small state machine: IDLE → ARMED → MOVING for a servo. On ARMED and a start pulse, move to a target [rad]; on complete, return to IDLE. Any E-STOP sends to FAULT and commands 0 motion."
4446,Robotics / Motion / Actuators,"Implement stepper homing: on startup, move toward home until a switch triggers, set zero, then accept absolute position commands in [rad] within soft limits. Include a homing timeout and fail-safe stop."
4447,Robotics / Motion / Actuators,Generate a simple trapezoidal velocity profile from current to target speed in [mps] using specified accel/decel limits. Cancel if a stop signal occurs. Run at 200 Hz; WCET ≤ 0.8 ms.
4448,Robotics / Motion / Actuators,"Mirror two servos so that servo2_angle = π − servo1_angle, both constrained to [0.2, 2.8] [rad]. If either channel faults, freeze both at their last safe positions."
4449,Robotics / Motion / Actuators,"If measured motor current rises above a configurable threshold, gradually derate the speed command [mps]; restore normal limits once current falls and hysteresis clears. Expose a derate_active flag."
4450,Robotics / Motion / Actuators,Control a two-axis gimbal with commanded pan/tilt angles in [rad]. Enforce per-axis rate limits of 0.5 [rad/s] and absolute angle limits. E-STOP must reset both axes to neutral safely.
4451,Robotics / Motion / Actuators,"Accept a stepper target given in revolutions, convert to [rad], and command the move only when enabled. Enforce an absolute bound of 50 [rad] and ignore inputs while moving."
4452,Robotics / Motion / Actuators,"Implement soft limits for a servo: warn when commanded outside the preferred window [0.1, 2.4] [rad] and clip to that range. Count and expose the number of soft-limit clips."
4453,Robotics / Motion / Actuators,"Maintain a rotary arm at a set angle [rad] using on/off control with a ±0.02 [rad] deadband. If overshoot occurs, coast until re-entering the deadband."
4454,Robotics / Motion / Actuators,Design a safety state machine for motor velocity [mps]: RUN → STOP → CLEAR. Loss of enable or E-STOP transitions to STOP (0 [mps]); only a clear signal returns to RUN.
4455,Robotics / Motion / Actuators,"Synchronize two motors: track individual velocities [mps] and adjust commands to minimize their difference. If |v1−v2| > 0.1 [mps], limit both speeds until matched."
4456,Robotics / Motion / Actuators,"Create a servo sweep test: move from 0.00 to 3.14 [rad] over 10 s and back, repeating while test_enable is true. Provide a ready flag after each full cycle."
4457,Robotics / Motion / Actuators,"For a stepper, ignore any new target angle within 0.20 [rad] of the current position to prevent micro-moves; execute larger moves immediately."
4458,Robotics / Motion / Actuators,Implement a safe-start for throttle-to-speed mapping: require throttle near zero for 2 s before enabling motor output. Then ramp to the target [mps] with a per-cycle limit. Limit sudden jumps.
4459,Robotics / Motion / Actuators,"Add a drive mode selector: NORMAL caps at 1.0 [mps], TURTLE caps at 0.3 [mps]. Track the active mode and latch a fault that prevents exiting TURTLE until reset."
4460,Robotics / Motion / Actuators,Filter the speed setpoint [mps] with a first-order filter to smooth operator inputs. Specify a time constant and ensure control loop runs at 500 Hz with WCET ≤ 0.5 ms.
4461,Robotics / Motion / Actuators,"Implement a deadman: require periodic keepalive pulses; if none are received for 150 ms, force motor command to 0 [mps] and set a timeout fault."
4462,Robotics / Motion / Actuators,"Create a thermal derate state machine: NORMAL, WARM, HOT based on motor temperature (C). Reduce max speed [mps] per state and apply hysteresis to avoid rapid toggling."
4463,Robotics / Motion / Actuators,"For a pan/tilt head, limit tilt range based on pan angle: when |pan| > 1.4 [rad], constrain tilt to ±0.6 [rad]; otherwise allow ±0.8 [rad]. Reject commands violating the coupled limits."
4464,Robotics / Motion / Actuators,"Implement a PID velocity controller to track a target wheel speed in [mps]. Include anti-windup, derivative on measurement, and output saturation at ±1.2 [mps]. Run at 200 Hz, WCET ≤ 0.7 ms, and raise tracking_ok when error < 0.05 [mps] for 100 ms."
4465,Robotics / Motion / Actuators,"Build a PID position control loop for a rotary joint to hold a commanded angle in [rad]. Enforce slew rate ≤ 1.0 [rad/s], angle bounds [0.0, 2.8] [rad], and anti-windup. Declare a fault if not within ±0.02 [rad] in 2 s."
4466,Robotics / Motion / Actuators,"Create a cascaded controller: outer position PID (target in [rad]) produces a velocity command [rad/s], inner velocity PID drives the actuator. Enforce hard angle and speed limits, run at 500 Hz with WCET ≤ 1.2 ms, and freeze integrators during saturation."
4467,Robotics / Motion / Actuators,Fuse encoder angle [rad] with gyro rate [rad/s] using a complementary filter to estimate angle/velocity. Use the fused signals in a PID position loop to follow a target [rad]. Fault if fusion residual exceeds 0.2 [rad] for >100 ms.
4468,Robotics / Motion / Actuators,"Estimate wheel velocity [mps] by fusing encoder-derived speed with accelerometer integration. Drive a PID speed loop using the fused estimate, and derate max speed by 50% if the two sources disagree by >0.3 [mps]."
4469,Robotics / Motion / Actuators,Track a time-stamped velocity profile in [mps] with jerk-limited transitions. Feed setpoints into a PID speed controller. Require steady-state error < 0.05 [mps] and run at 250 Hz with WCET ≤ 0.8 ms.
4470,Robotics / Motion / Actuators,"Detect stalls: if position error stays > 0.10 [rad] while commanded velocity exceeds 0.4 [rad/s] for 500 ms, declare a stall, cut outputs to zero, latch a fault, and require explicit reset to recover."
4471,Robotics / Motion / Actuators,"Augment a PID speed controller [mps] with friction compensation (static and Coulomb feedforward). Provide a calibration routine to estimate parameters, and ensure the summed command remains within ±1.0 [mps]."
4472,Robotics / Motion / Actuators,"Apply gain scheduling to a PID velocity loop in [mps] based on motor temperature to maintain stability across conditions. Define gain ranges, ensure no oscillations, and clamp outputs to ±0.9 [mps]."
4473,Robotics / Motion / Actuators,"Control a stepper in closed loop using encoder feedback: track a target angle [rad] with a PID that corrects missed steps. If error spikes > 0.3 [rad], enter a hold-safe mode. Run at 1 kHz, WCET ≤ 0.6 ms."
4474,Robotics / Motion / Actuators,"Design a multi-mode joint controller with CALIBRATE (home to switch, set zero), POSITION_HOLD (PID on [rad]), VELOCITY_TRACK (PID on [rad/s]), and FAULT. Define transitions, E-STOP priority, absolute limits, and rate limits. Schedule at 1 kHz with WCET ≤ 0.7 ms, and list test cases (start/stop, E-STOP during motion, homing timeout)."
4475,Robotics / Motion / Actuators,"Create a dual-wheel system with modes: MANUAL (joystick to [mps]), CRUISE (PID holds [mps]), and SAFE_STOP. Fuse encoder and IMU signals for velocity estimation, detect slip by comparing command vs estimate, derate on low battery/overtemp, and provide acceptance tests for each mode."
4476,Robotics / Motion / Actuators,"Implement a robotic slider that executes sequences of target positions [rad] with jerk-limited profiles, using cascaded PID loops. Include a dynamic no-go zone that shrinks the allowed range. Require deterministic timing at 500 Hz with WCET ≤ 0.9 ms and a startup self-test."
4477,Robotics / Motion / Actuators,"Coordinate four servos to reach a 4D joint target vector [rad] synchronously with a shared timeline. Provide modes IDLE, EXECUTE, PAUSE, ABORT, and FAULT; watchdog and deadman safety; tests for limit violations, mid-move pause/resume, and WCET compliance."
4478,Robotics / Motion / Actuators,"Develop a high-integrity stepper controller with modes: OPEN_LOOP microstepping, CLOSED_LOOP correction via encoder, CAL for steps-per-rad calibration, and SAFE on anomalies. Enforce motion envelopes, detect stalls, and specify WCET ≤ 1.0 ms at 1 kHz plus verification procedures per mode."
4479,Robotics / Motion / Actuators,"When a boolean input 'open' is true, set a servo to 1.0 [rad]; otherwise hold 0.0 [rad]. Reject any command outside [-1.5, 1.5] [rad] and default to 0.0 [rad] on fault."
4480,Robotics / Motion / Actuators,"On each rising edge of a button, jog a rotary actuator by +0.05 [rad]; on a long-press (>1 s), jog -0.05 [rad]. Rate-limit jogs to at most one action per 200 ms."
4481,Robotics / Motion / Actuators,"Map an analog slider (0–100%) to a servo angle from 0.0 to 2.0 [rad]. Clamp the output to [0.0, 2.0] [rad] and apply a small deadband to reduce jitter."
4482,Robotics / Motion / Actuators,"Drive a motor to 0.25 [mps] whenever 'enable' is true; when false, stop. Use a smooth 0.5 s ramp on start/stop, but if 'estop' is true, command 0 [mps] immediately."
4483,Robotics / Motion / Actuators,"At power-up, command a joint to 0.75 [rad] and hold. If a new target arrives, go to that [rad] value but constrain the allowed range to [-1.2, 1.2] [rad]."
4484,Robotics / Motion / Actuators,"Use a boolean 'reverse' to choose direction: if true, command -0.15 [mps], else +0.15 [mps]. Maintain constant magnitude and stop when 'reverse' is undefined."
4485,Robotics / Motion / Actuators,"If a limit switch is active, set the target position to 0.0 [rad] and hold; otherwise, leave the current target unchanged."
4486,Robotics / Motion / Actuators,"Accept a numeric input in [rad] and command a servo to that angle. Clamp to [-2.0, 2.0] [rad] and ignore NaN or invalid values."
4487,Robotics / Motion / Actuators,"Run a conveyor at 0.35 [mps] while 'run' is true; when false, decelerate linearly to 0 [mps] over 0.3 s."
4488,Robotics / Motion / Actuators,"On a double-tap of a button within 400 ms, move to 1.57 [rad]; a single tap moves to 0.0 [rad]. Ignore further taps while motion is active."
4489,Robotics / Motion / Actuators,"When enabled, generate a soft-start ramp from 0 to 0.20 [mps] over 2 s. Hold the final speed until disabled, then ramp down over 1 s."
4490,Robotics / Motion / Actuators,"Accept a scalar velocity setpoint and drive the motor accordingly. If the setpoint is negative, reverse direction. Saturate the magnitude at 0.40 [mps]."
4491,Robotics / Motion / Actuators,"Every second, toggle an actuator between -0.5 [rad] and +0.5 [rad], with a 0.5 s dwell at each end. Keep the pattern while enabled."
4492,Robotics / Motion / Actuators,"If a fault signal is true, immediately command 0 [mps]. Otherwise, pass the requested speed through a limiter capped at 0.60 [mps]."
4493,Robotics / Motion / Actuators,"Convert a dial reading (0–1) to a joint angle from 0.0 to 2.0 [rad], with a ±0.02 [rad] deadband near 0.0 to suppress jitter."
4494,Robotics / Motion / Actuators,Implement a two-state machine: IDLE holds 0.0 [rad]; TRACK moves to 1.2 [rad] with a trapezoidal profile (max 0.5 [rad] per second). On 'start' enter TRACK; on 'cancel' or limit trip return to IDLE. Run at 100 Hz.
4495,Robotics / Motion / Actuators,"Create a homing routine for a rotary axis: move negative until the home switch closes, set position to 0.0 [rad], then back off to +0.05 [rad]. Refuse motion if the far limit switch is already active."
4496,Robotics / Motion / Actuators,"Synchronize two wheels to the same linear speed target up to 0.8 [mps]. If either wheel’s feedback differs by more than 0.1 [mps], slow both to 0.0 [mps] and raise a warning."
4497,Robotics / Motion / Actuators,"Alternate among three position setpoints: 0.0 [rad], 0.8 [rad], and 1.6 [rad], each with a 2 s dwell. Use a timer-driven state machine at 50 Hz and ensure WCET under 0.5 ms."
4498,Robotics / Motion / Actuators,"Accept position commands in [rad] over a message channel. Validate they are within [-1.5, 1.5] [rad] and that step-to-step change does not exceed 0.2 [rad]. Reject invalid commands and hold last safe value."
4499,Robotics / Motion / Actuators,"Implement a jog mode with two buttons: one jogs +0.02 [rad] per press, the other -0.02 [rad]. Lock out jogs while moving and auto-disable power after 5 s of inactivity."
4500,Robotics / Motion / Actuators,"Drive a feeder belt to a target speed in [mps] with an overrun sensor. If the sensor toggles rapidly (>10 Hz), debounce and stop the belt until manually cleared."
4501,Robotics / Motion / Actuators,"Provide a soft limit zone: when within 0.1 [rad] of either end stop, reduce max speed to 0.1 [rad] per second; otherwise allow 0.5 [rad] per second."
4502,Robotics / Motion / Actuators,"Implement a watchdog: if no new speed command is received for 300 ms, ramp to 0 [mps] over 0.2 s and latch a timeout flag until reset."
4503,Robotics / Motion / Actuators,"Switch between POSITION and VELOCITY control modes via a selector. In POSITION, track a target in [rad]. In VELOCITY, hold a target in [mps]. Transition smoothly between modes without output jumps."
4504,Robotics / Motion / Actuators,Add a slew-rate limiter so the commanded angle changes no faster than 0.4 [rad] per second. Guarantee WCET of the limiting path is < 0.2 ms at 200 Hz.
4505,Robotics / Motion / Actuators,"Implement start/stop/estop for a motor. Start ramps to 0.30 [mps], stop ramps down over 0.5 s, estop forces 0 [mps] immediately and blocks restart until cleared."
4506,Robotics / Motion / Actuators,"Create a shuttle motion between two adjustable positions A and B in [rad], with limits on acceleration and speed and a maximum cycle time of 4 s. Pause if a presence sensor is blocked."
4507,Robotics / Motion / Actuators,"Combine a foot pedal and dial: the pedal enables motion, the dial sets speed up to 0.6 [mps]. On pedal release, decelerate to 0 [mps] in 150 ms."
4508,Robotics / Motion / Actuators,"For a stepper axis, perform smooth microstep motion to a commanded angle in [rad], respecting a maximum angle change rate of 1.0 [rad] per second. Use the home switch to prevent over-travel and back off by 0.01 [rad] if tripped."
4509,Robotics / Motion / Actuators,"Implement a dwell-and-rotate routine: rotate to 0.9 [rad], hold 1 s, rotate back to 0.0 [rad], hold 1 s, and repeat while enabled. Ensure the control task runs at 100 Hz with WCET < 0.4 ms."
4510,Robotics / Motion / Actuators,"Add anti-jam behavior: if measured speed stays below 0.05 [mps] while commanded > 0.20 [mps] for more than 300 ms, reverse at 0.10 [mps] for 200 ms, then retry forward."
4511,Robotics / Motion / Actuators,"Control a pan axis with a joystick; map joystick deflection to velocity in [mps] with a deadzone and exponential scaling. Enforce position limits at [-1.0, 1.0] [rad]."
4512,Robotics / Motion / Actuators,"Hold a vertical actuator at 0.0 [rad] unless a load sensor exceeds a threshold, then move to 0.2 [rad] to relieve force and return when cleared. Honor a speed limit of 0.15 [rad] per second."
4513,Robotics / Motion / Actuators,"Create a periodic calibration reminder that, every 10 minutes, requests a move to 0.0 [rad] when safe. If motion is in progress, defer the request to the next idle window."
4514,Robotics / Motion / Actuators,"Design a PID position controller for a rotary joint with a setpoint in [rad]. Include anti-windup, output saturation, and a max slew of 0.6 [rad] per second. Run at 200 Hz with WCET under 0.3 ms."
4515,Robotics / Motion / Actuators,"Implement a cascaded controller: an outer-loop PID regulates position in [rad], and an inner-loop PID regulates linear velocity in [mps]. Ensure bumpless transfer between manual and automatic and enforce soft limits at ±1.5 [rad]."
4516,Robotics / Motion / Actuators,"Fuse two velocity measurements to estimate linear speed in [mps], then regulate to the commanded speed with PID. Reject outliers and fall back to a single sensor if disagreement exceeds 0.2 [mps]."
4517,Robotics / Motion / Actuators,Generate a trapezoidal motion profile from the current position to a target in [rad] with configurable max speed and acceleration. Feed the profile to a PID actuator loop and ensure peak following error stays below 0.03 [rad].
4518,Robotics / Motion / Actuators,Implement feedforward plus PID control for a conveyor to reach 0.50 [mps] quickly with less than 10% overshoot. Limit acceleration to prevent slip and command 0 [mps] if an emergency input triggers.
4519,Robotics / Motion / Actuators,"Create a dual-motor synchronization scheme where a slave tracks a master’s position in [rad] via PID. If error exceeds 0.1 [rad] for 200 ms, enter a fault state and decouple the axes."
4520,Robotics / Motion / Actuators,"Perform online friction compensation: estimate static friction by observing when velocity in [mps] first moves from zero, then bias the PID output to reduce stiction while respecting speed and position limits."
4521,Robotics / Motion / Actuators,"Implement a velocity PID that switches gains by speed bands: low (0–0.1 [mps]), mid (0.1–0.4 [mps]), high (0.4–0.8 [mps]). Ensure stable transitions and WCET <= 0.4 ms at 250 Hz."
4522,Robotics / Motion / Actuators,"Combine an incremental encoder with a coarse absolute sensor to estimate actuator position in [rad]. If the difference exceeds 0.2 [rad], trust the absolute reading and re-zero the encoder during a controlled stop."
4523,Robotics / Motion / Actuators,"Add a safety supervisor around the motion controller: monitor position [rad], speed [mps], and command age. Immediately command 0 [mps] if any exceeds limits, and require an operator reset before enabling again. Log timestamps and fault reasons."
4524,Robotics / Motion / Actuators,"Build a multi-mode actuator controller with states OFF, MANUAL, AUTO, and SAFE. MANUAL maps a dial to velocity in [mps]; AUTO tracks a position sequence in [rad] using PID; SAFE commands 0 [mps] and ignores inputs. Define interlocks, transitions, 200 Hz update, and a WCET budget of 0.5 ms."
4525,Robotics / Motion / Actuators,"Develop a redundant speed control system using two independent sensors reporting [mps]. Fuse them with median or weighted logic, detect disagreement, degrade gracefully to limited performance, and produce a comprehensive test plan including sensor failure injection, rate jitter analysis, and WCET margin checks."
4526,Robotics / Motion / Actuators,"Create a coordinated dual-axis motion plan for a pick-and-place: both joints move to targets in [rad] so the end effector maintains a constant transport speed of 0.30 [mps]. Include mode transitions, soft-limit enforcement, and acceptance tests for maximum tracking error."
4527,Robotics / Motion / Actuators,"Specify a complete homing-and-run sequence with modes POWERUP, HOMING, READY, RUN, and FAULT. Use PID position control in RUN for targets in [rad]. Define recovery from mid-cycle faults, watchdog behavior, safety limits, 100 Hz update rate, and WCET < 0.6 ms, with verification steps."
4528,Robotics / Motion / Actuators,"Design an end-to-end verification-oriented controller for a belt drive: requirement-based tests for step responses to 0.20, 0.50, and 0.80 [mps]; limit testing for over-speed and stale command handling; state machine coverage; and logging of cycle time to prove WCET compliance."
4529,Robotics / Motion / Actuators,"Drive a single rotary actuator to 0.00 [rad] while an input button is released, and to 1.00 [rad] while the button is pressed. Update at 100 Hz."
4530,Robotics / Motion / Actuators,"While an enable flag is true, command a linear actuator to a constant speed of 0.20 [mps]; otherwise command 0 [mps]."
4531,Robotics / Motion / Actuators,"On each rising edge of a jog input, increase the target joint angle by +0.10 [rad]; on each falling edge, decrease by -0.10 [rad]. Constrain the angle between 0.00 [rad] and 2.50 [rad]."
4532,Robotics / Motion / Actuators,"At startup, ramp a rotary joint from 0.00 [rad] to 1.50 [rad] over 3 s and hold there."
4533,Robotics / Motion / Actuators,"Implement a dead-man function: if a hold-to-run input is maintained, command 0.30 [mps]; if released, immediately command 0 [mps]. Guarantee WCET <= 1 ms."
4534,Robotics / Motion / Actuators,"Each time a toggle button is pressed, switch the motor direction while maintaining a constant magnitude of 0.10 [mps]."
4535,Robotics / Motion / Actuators,"On power-up, move the actuator to 0.785 [rad] and hold; if a reset input is asserted, drive to 0.000 [rad] and hold."
4536,Robotics / Motion / Actuators,"If a stop command arrives, decelerate smoothly to 0 [mps] within 1.0 s; if run is true, maintain 0.25 [mps]."
4537,Robotics / Motion / Actuators,"Accept a numeric setpoint in [rad] and command the joint to that absolute angle, clamped to the range [0.00, 3.14] [rad]."
4538,Robotics / Motion / Actuators,"Track a requested linear speed input in [mps], but cap the magnitude to 0.40 [mps] before sending to the motor."
4539,Robotics / Motion / Actuators,"Drive forward at 0.15 [mps] unless a limit switch is active, in which case command 0 [mps] immediately."
4540,Robotics / Motion / Actuators,"Five seconds after startup, move a rotary actuator from 0.00 [rad] to 2.00 [rad]; otherwise hold at 0.00 [rad]."
4541,Robotics / Motion / Actuators,Hold a joint at 1.20 [rad] unless an overtravel signal is present; then command 0.00 [rad] and inhibit motion.
4542,Robotics / Motion / Actuators,"Map an analog input in the range 0.0 to 1.0 to an actuator angle from 0.0 to 3.14 [rad], updating at 50 Hz."
